donor_id,Last_Transaction,Frequency,Monetary,Recency,donor_segment,tangga_donatur_keterangan,dominant_program,affinity_score
G14409,27-02-21 5:50,3,230000,1403,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,66.66666666666666
G14411,05-01-21 5:32,1,20000,1456,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G14412,05-01-21 8:41,1,150000,1456,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G14415,06-02-21 7:21,2,231069,1424,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Yatim & Pendidikan,100
G14423,05-01-21 19:22,1,25000,1456,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G14425,05-01-21 21:11,1,100140,1456,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G14426,21-03-23 12:21,6,1080000,651,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G14427,18-02-21 4:58,41,820000,1412,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,95.12195122
G14428,06-01-21 6:22,1,100000,1455,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Zakat,100
G14433,06-01-21 18:48,1,200000,1455,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Sedekah/Infaq,100
G14434,24-03-21 19:15,2,2000000,1378,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,50
G14437,23-04-22 19:39,7,2050000,983,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Sedekah/Infaq,71.42857142857143
G14440,07-01-21 11:48,1,50000,1454,Lost Donor (Hilang),Donatur yang hanya pernah sekali dan tidak aktif lagi. Butuh campaign pengingat / storytelling untuk mengembalikan ketertarikan.,Yatim & Pendidikan,100
G14441,19-08-23 9:38,9,6800000,500,Dormant Donor (Tidur),Donatur yang pernah aktif tapi sudah lama tidak donasi. Target utama untuk kampanye reaktivasi.,Zakat,66.66666666666666
